#Clock	Room0	Room1	Room2	Room3	
96	2	1	3	1	
97	2	1	3	1	
98	2	1	3	1	
99	2	1	3	1	
100	2	1	3	1	
101	2	1	3	1	
102	2	1	4	1	
103	2	1	4	1	
104	2	1	4	1	
105	3	1	4	1	
106	3	1	4	2	
107	3	1	4	2	
108	3	1	4	2	
109	3	1	4	2	
110	3	1	4	2	
111	3	1	5	2	
112	3	1	5	2	
113	3	1	5	2	
114	3	1	5	2	
115	3	1	5	2	
116	3	1	5	2	
117	3	1	5	2	
118	3	1	5	2	
119	3	1	5	2	
120	4	1	5	2	
121	5	2	5	2	
122	5	2	5	2	
123	5	2	5	2	
124	5	2	5	2	
125	5	2	5	3	
126	5	2	5	3	
127	5	2	5	3	
128	5	2	5	3	
129	5	2	5	3	
130	5	2	5	3	
131	5	2	6	3	
132	5	2	6	3	
133	5	2	6	3	
134	5	2	6	3	
135	5	2	6	3	
136	6	2	6	3	
137	6	2	6	3	
138	6	2	6	3	
139	6	2	6	3	
140	6	2	6	3	
141	6	2	6	3	
142	6	2	6	3	
143	6	2	6	3	
144	6	2	6	3	
145	6	2	6	3	
146	6	2	6	3	
147	6	2	6	3	
148	6	2	6	3	
149	6	2	6	3	
150	6	2	6	3	
151	6	3	6	3	
152	6	3	6	3	
153	6	3	6	3	
154	6	3	6	3	
155	6	3	6	3	
156	6	3	6	3	
157	6	3	6	3	
158	6	3	6	3	
159	6	3	6	3	
160	6	3	6	3	
161	7	3	6	3	
162	7	3	6	3	
163	7	3	6	3	
164	7	3	6	3	
165	7	3	6	3	
166	7	3	6	3	
167	7	3	6	3	
168	7	3	6	3	
169	7	3	6	3	
170	7	3	6	3	
171	7	3	6	3	
172	7	3	6	3	
173	7	3	6	3	
174	7	3	6	3	
175	7	3	6	3	
176	7	3	6	3	
177	7	3	6	3	
178	7	3	6	3	
179	7	3	6	3	
180	7	3	6	3	
181	7	3	6	3	
182	7	3	6	3	
183	7	3	6	3	
184	7	3	6	3	
185	7	4	6	3	
186	7	4	6	3	
187	7	4	6	3	
188	7	4	6	3	
189	7	4	6	3	
190	7	4	6	3	
191	7	4	6	3	
192	7	4	6	3	
193	7	4	6	3	
194	7	4	6	3	
195	7	4	6	3	
196	7	4	6	3	
197	7	4	6	3	
198	7	4	6	3	
199	7	4	6	3	
200	7	4	6	3	
201	7	4	6	3	
202	7	4	6	3	
203	7	4	6	3	
204	7	4	6	3	
205	7	4	6	3	
206	7	4	6	3	
207	7	4	6	3	
208	7	4	6	3	
209	7	4	6	3	
210	7	4	6	3	
211	7	4	6	3	
212	7	4	6	3	
213	7	4	6	3	
214	7	4	6	3	
215	7	4	6	3	
216	7	4	6	3	
217	7	4	6	3	
218	7	4	6	3	
219	7	4	6	3	
220	7	4	6	3	
221	7	4	6	3	
222	7	4	6	3	
223	7	4	6	3	
224	7	4	6	3	
225	7	4	6	3	
226	7	3	6	2	
227	7	3	6	2	
228	7	3	6	2	
229	7	3	6	2	
230	7	3	6	2	
231	7	3	6	2	
232	6	3	5	2	
233	6	3	5	2	
234	6	3	5	2	
235	6	3	5	2	
236	6	3	5	2	
237	6	3	5	2	
238	6	3	5	2	
239	6	3	5	2	
240	6	3	5	2	
241	6	3	5	2	
242	6	3	5	2	
243	6	3	5	2	
244	6	3	5	2	
245	6	3	5	2	
246	6	2	5	2	
247	6	2	5	2	
248	6	2	5	2	
249	6	2	5	2	
250	6	2	5	2	
251	6	2	5	2	
252	5	2	5	2	
253	4	2	5	2	
254	4	2	5	2	
255	4	2	5	2	
256	4	2	5	2	
257	4	2	4	2	
258	4	2	4	2	
259	4	2	4	2	
260	4	2	4	2	
261	4	2	4	2	
262	4	1	4	2	
263	4	1	4	2	
264	4	1	4	2	
265	4	1	4	2	
266	4	1	4	2	
267	4	1	4	2	
268	4	1	4	2	
269	4	1	4	2	
270	4	1	3	2	
271	3	1	3	2	
272	3	1	3	2	
273	3	1	2	2	
274	3	1	2	2	
275	2	0	2	2	
276	2	0	2	2	
277	2	0	2	2	
278	2	0	2	2	
279	2	0	2	2	
280	2	0	2	2	
281	2	0	2	2	
282	2	0	2	2	
283	2	0	2	2	
284	2	0	2	2	
285	2	0	2	2	
286	2	0	2	2	
287	2	0	2	2	
288	2	0	2	2	
289	2	0	2	2	
290	2	0	2	2	
291	2	0	2	2	
292	2	0	2	2	
293	1	0	2	2	
294	1	0	2	2	
295	1	0	2	2	
296	1	0	2	2	
297	1	0	2	2	
298	1	0	2	2	
299	1	0	2	2	
300	1	0	2	2	
301	1	0	2	2	
302	1	0	2	2	
303	1	0	2	2	
304	1	0	2	2	
305	0	0	2	2	
306	0	0	2	2	
307	0	0	2	2	
308	0	0	2	2	
309	0	0	2	2	
310	0	0	2	2	
311	0	0	2	2	
312	0	0	2	2	
313	0	0	2	2	
314	0	0	2	2	
315	0	0	2	2	
316	0	0	2	2	
317	0	0	2	2	
318	0	0	2	2	
319	0	0	2	2	
320	0	0	2	2	
321	0	0	2	2	
322	0	0	2	2	
323	0	0	2	2	
324	0	0	2	2	
325	0	0	2	2	
326	0	0	2	2	
327	0	0	2	2	
328	0	0	2	2	
329	0	0	2	2	
330	0	0	2	2	
331	0	0	2	2	
332	0	0	2	2	
333	0	0	2	2	
334	0	0	2	2	
335	0	0	2	2	
336	0	0	2	2	
337	0	0	2	2	
338	0	0	2	2	
339	0	0	2	2	
340	0	0	2	2	
341	0	0	2	2	
342	0	0	2	2	
343	0	0	2	2	
344	0	0	2	2	
345	0	0	2	2	
346	0	0	2	2	
347	0	0	2	2	
348	0	0	2	2	
349	0	0	2	2	
350	0	0	2	2	
351	0	0	2	2	
352	0	0	2	2	
353	0	0	2	2	
354	0	0	2	2	
355	0	0	2	2	
356	0	0	2	2	
357	0	0	2	2	
358	0	0	2	2	
359	0	0	2	2	
360	0	0	2	2	
361	0	0	2	2	
362	0	0	2	2	
363	0	0	2	2	
364	0	0	2	2	
365	0	0	2	2	
366	0	0	2	2	
367	0	0	2	2	
368	0	0	2	2	
369	0	0	2	2	
370	0	0	2	2	
371	0	0	2	2	
372	0	0	2	2	
373	0	0	2	2	
374	0	0	2	2	
375	0	0	2	2	
376	0	0	2	2	
377	0	0	2	2	
378	0	0	2	2	
379	0	0	2	2	
380	0	0	2	2	
381	0	0	2	2	
382	0	0	2	2	
383	0	0	2	2	
384	0	0	2	2	
385	0	0	2	2	
386	0	0	2	2	
387	0	0	2	2	
388	0	0	2	2	
389	0	0	2	2	
390	0	0	2	2	
391	0	0	2	2	
392	0	0	2	2	
393	0	0	2	2	
394	0	0	2	2	
395	0	0	2	2	
396	0	0	2	2	
397	0	0	2	2	
398	0	0	2	2	
399	0	0	2	2	
400	0	0	2	2	
401	0	0	2	2	
402	0	0	2	2	
403	0	0	2	2	
404	0	0	2	2	
405	0	0	2	2	
406	0	0	2	2	
407	0	0	2	2	
408	0	0	2	2	
409	0	0	2	2	
410	0	0	2	2	
411	0	0	2	2	
412	0	0	2	2	
413	0	0	2	2	
414	0	0	2	2	
415	0	0	2	2	
416	0	0	2	2	
417	0	0	2	2	
418	0	0	2	2	
419	0	0	2	2	
420	0	0	2	2	
421	0	0	2	2	
422	0	0	2	2	
423	0	0	2	2	
424	0	0	2	2	
425	0	0	2	2	
426	0	0	2	2	
427	0	0	2	2	
428	0	0	2	2	
429	0	0	2	2	
430	0	0	2	2	
431	0	0	2	2	
432	0	0	2	2	
433	0	0	2	2	
434	0	0	2	2	
435	0	0	2	2	
436	0	0	2	2	
437	0	0	2	2	
438	0	0	2	2	
439	0	0	2	2	
440	0	0	2	2	
441	0	0	2	2	
442	0	0	2	2	
443	0	0	2	2	
444	0	0	2	2	
445	0	0	2	2	
446	0	0	2	2	
447	0	0	2	2	
448	0	0	2	2	
449	0	0	2	2	
450	0	0	2	2	
451	0	0	2	2	
452	0	0	2	2	
453	0	0	2	2	
454	0	0	2	2	
455	0	0	2	2	
456	0	0	2	2	
457	0	0	2	2	
458	0	0	2	2	
459	0	0	2	2	
460	0	0	2	2	
461	0	0	2	2	
462	0	0	2	2	
463	0	0	2	2	
464	0	0	2	2	
465	0	0	2	2	
466	0	0	2	2	
467	0	0	2	2	
468	0	0	2	2	
469	0	0	2	2	
470	0	0	2	2	
471	0	0	2	2	
472	0	0	2	2	
473	0	0	2	2	
474	0	0	2	2	
475	0	0	2	2	
476	0	0	2	2	
477	0	0	2	2	
478	0	0	2	2	
479	0	0	2	2	
480	0	0	2	2	
481	0	0	2	2	
482	0	0	2	2	
483	0	0	2	2	
484	0	0	2	2	
485	0	0	2	2	
486	0	0	2	2	
487	0	0	2	2	
488	0	0	2	2	
489	0	0	2	2	
490	0	0	2	2	
491	0	0	2	2	
492	0	0	2	2	
493	0	0	2	2	
494	0	0	2	2	
495	0	0	2	2	
496	0	0	2	2	
497	0	0	2	2	
498	0	0	2	2	
499	0	0	2	2	
500	0	0	2	2	
501	0	0	2	2	
502	0	0	2	2	
503	0	0	2	2	
504	0	0	2	2	
505	0	0	2	2	
506	0	0	2	2	
507	0	0	2	2	
508	0	0	2	2	
509	0	0	3	2	
510	0	0	3	2	
511	0	0	3	2	
512	0	0	3	2	
513	0	0	3	2	
514	0	0	3	2	
515	0	0	3	2	
516	0	0	3	2	
517	0	0	3	2	
518	0	0	3	2	
519	0	0	3	2	
520	0	0	3	2	
521	0	0	3	2	
522	0	0	3	2	
523	0	0	3	2	
524	0	0	3	2	
525	0	0	3	2	
526	0	0	3	2	
527	0	0	3	2	
528	0	0	3	2	
529	0	0	3	2	
530	0	0	3	2	
531	0	0	3	2	
532	0	0	3	2	
533	0	0	3	2	
534	0	0	3	2	
535	0	0	3	2	
536	0	0	3	2	
537	0	0	3	2	
538	0	0	3	2	
539	0	0	3	2	
540	0	0	4	2	
541	0	0	4	2	
542	0	0	4	2	
543	0	0	4	2	
544	0	0	5	2	
545	0	0	5	2	
546	0	0	5	2	
547	0	0	5	2	
548	0	0	5	2	
549	0	0	5	2	
550	0	0	5	2	
551	0	0	5	2	
552	0	0	5	2	
553	0	0	5	2	
554	0	0	6	2	
555	0	0	6	2	
556	0	0	6	2	
557	0	0	6	2	
558	0	0	6	2	
559	0	0	6	2	
560	0	0	7	2	
561	0	0	7	2	
562	0	0	7	2	
563	0	0	7	2	
564	0	0	8	2	
565	0	0	8	2	
566	0	0	8	2	
567	0	0	8	2	
568	0	0	8	2	
569	0	0	8	2	
570	0	0	8	2	
571	0	0	8	2	
572	0	0	8	2	
573	0	0	8	2	
574	0	0	8	2	
575	0	0	8	2	
576	0	0	8	2	
577	0	0	8	2	
578	0	0	8	2	
579	0	0	9	2	
580	0	0	9	2	
581	0	0	9	2	
582	0	0	9	2	
583	0	0	9	2	
584	0	0	9	2	
585	0	0	9	2	
586	0	0	9	2	
587	0	0	9	2	
588	0	0	9	2	
589	0	0	9	2	
590	0	0	9	2	
591	0	0	9	2	
592	0	0	9	2	
593	0	0	9	2	
594	0	0	9	2	
595	0	0	9	2	
596	0	0	9	2	
597	0	0	9	2	
598	0	0	9	2	
599	0	0	9	2	
600	0	0	9	2	
601	0	0	9	2	
602	0	0	9	2	
603	0	0	9	2	
604	0	0	9	2	
605	0	0	9	2	
606	0	0	9	2	
607	0	0	9	2	
608	0	0	9	2	
609	0	0	10	2	
610	0	0	10	2	
611	0	0	10	2	
612	0	0	10	2	
613	0	0	10	2	
614	0	0	10	2	
615	0	0	10	2	
616	0	0	11	2	
617	0	0	11	2	
618	0	0	11	2	
619	0	0	11	2	
620	0	0	11	2	
621	0	0	11	2	
622	0	0	11	2	
623	0	0	11	2	
624	0	0	11	2	
625	0	0	11	2	
626	0	0	11	2	
627	0	0	11	2	
628	0	0	11	2	
629	0	0	11	2	
630	0	0	11	2	
631	0	0	11	2	
632	0	0	11	2	
633	0	0	11	2	
634	0	0	11	2	
635	0	0	11	2	
636	0	0	11	2	
637	0	0	11	2	
638	0	0	11	2	
639	0	0	11	2	
640	0	0	11	2	
641	0	0	11	2	
642	0	0	11	2	
643	0	0	11	2	
644	0	0	11	2	
645	0	0	11	2	
646	0	0	11	2	
647	0	0	11	2	
648	0	0	11	2	
649	0	0	11	2	
650	0	0	11	2	
651	0	0	11	2	
652	0	0	11	2	
653	0	0	11	2	
654	0	0	11	2	
655	0	0	11	2	
656	0	0	11	2	
657	0	0	11	2	
658	0	0	11	2	
659	0	0	11	2	
660	0	0	11	2	
661	0	0	11	2	
662	0	0	11	2	
663	0	0	11	2	
664	0	0	11	2	
665	0	0	11	2	
666	0	0	11	2	
667	0	0	11	2	
668	0	0	11	2	
669	0	0	11	2	
670	0	0	11	2	
671	0	0	11	2	
672	0	0	11	2	
673	0	0	11	2	
674	0	0	11	2	
675	0	0	11	2	
676	0	0	11	2	
677	0	0	11	2	
678	0	0	11	2	
679	0	0	11	2	
680	0	0	11	2	
681	0	0	11	2	
682	0	0	11	2	
683	0	0	11	2	
684	0	0	11	2	
685	0	0	11	2	
686	0	0	11	2	
687	0	0	11	2	
688	0	0	11	2	
689	0	0	11	2	
690	0	0	11	2	
691	0	0	11	2	
692	0	0	11	2	
693	0	0	11	2	
694	0	0	11	2	
695	0	0	11	2	
696	0	0	11	2	
697	0	0	11	2	
698	0	0	11	2	
699	0	0	11	2	
700	0	0	11	2	
701	0	0	11	2	
702	0	0	11	2	
703	0	0	11	2	
704	0	0	11	2	
705	0	0	11	2	
706	0	0	11	2	
707	0	0	11	2	
708	0	0	11	2	
709	0	0	11	2	
710	0	0	11	2	
711	0	0	11	2	
712	0	0	11	2	
713	0	0	11	2	
714	0	0	11	2	
715	0	0	11	2	
716	0	0	11	2	
717	0	0	11	2	
718	0	0	11	2	
719	0	0	11	2	
720	0	0	11	2	
721	0	0	11	2	
722	0	0	11	2	
723	0	0	11	2	
724	0	0	11	2	
725	0	0	11	2	
726	0	0	11	2	
727	0	0	11	2	
728	0	0	11	2	
729	0	0	11	2	
730	0	0	11	2	
731	0	0	11	2	
732	0	0	11	2	
733	0	0	11	2	
734	0	0	11	2	
735	0	0	11	2	
736	0	0	11	2	
737	0	0	11	2	
738	0	0	11	2	
739	0	0	11	2	
740	0	0	11	2	
741	0	0	11	2	
742	0	0	11	2	
743	0	0	11	2	
744	0	0	11	2	
745	0	0	11	2	
746	0	0	11	2	
747	0	0	11	2	
748	0	0	11	2	
749	0	0	11	2	
750	0	0	11	2	
751	0	0	11	2	
752	0	0	11	2	
753	0	0	11	2	
754	0	0	11	2	
755	0	0	11	2	
756	0	0	11	2	
757	0	0	11	2	
758	0	0	11	2	
759	0	0	11	2	
760	0	0	11	2	
761	0	0	11	2	
762	0	0	11	2	
763	0	0	11	2	
764	0	0	11	2	
765	0	0	11	2	
766	0	0	11	2	
767	0	0	11	2	
768	0	0	11	2	
769	0	0	11	2	
770	0	0	11	2	
771	0	0	11	2	
772	0	0	11	2	
773	0	0	11	2	
774	0	0	11	2	
775	0	0	11	2	
776	0	0	11	2	
777	0	0	11	2	
778	0	0	11	2	
779	0	0	11	2	
780	0	0	11	2	
781	0	0	11	2	
782	0	0	11	2	
783	0	0	11	2	
784	0	0	11	2	
785	0	0	11	2	
786	0	0	11	2	
787	0	0	11	2	
788	0	0	11	2	
789	0	0	11	2	
790	0	0	11	2	
791	0	0	11	2	
792	0	0	11	2	
793	0	0	11	2	
794	0	0	11	2	
795	0	0	11	2	
796	0	0	11	2	
797	0	0	11	2	
798	0	0	11	2	
799	0	0	11	2	
800	0	0	11	2	
801	0	0	11	2	
802	0	0	11	2	
803	0	0	11	2	
804	0	0	11	2	
805	0	0	11	2	
806	0	0	11	2	
807	0	0	11	2	
808	0	0	11	2	
809	0	0	11	2	
810	0	0	11	2	
811	0	0	11	2	
812	0	0	11	2	
813	0	0	11	2	
814	0	0	11	2	
815	0	0	11	2	
816	0	0	11	2	
817	0	0	11	2	
818	0	0	11	2	
819	0	0	11	2	
820	0	0	11	2	
821	0	0	11	2	
822	0	0	11	2	
823	0	0	11	2	
824	0	0	11	2	
825	0	0	11	2	
826	0	0	11	2	
827	0	0	11	2	
828	0	0	11	2	
829	0	0	11	2	
830	0	0	11	2	
831	0	0	11	2	
832	0	0	11	2	
833	0	0	11	2	
834	0	0	11	2	
835	0	0	11	2	
836	0	0	11	2	
837	0	0	11	2	
838	0	0	11	2	
839	0	0	11	2	
840	0	0	11	2	
841	0	0	11	2	
842	0	0	11	2	
843	0	0	11	2	
844	0	0	11	2	
845	0	0	11	2	
846	0	0	11	2	
847	0	0	11	2	
848	0	0	11	2	
849	0	0	11	2	
850	0	0	11	2	
851	0	0	11	2	
852	0	0	11	2	
853	0	0	11	2	
854	0	0	11	2	
855	0	0	11	2	
856	0	0	11	2	
857	0	0	11	2	
858	0	0	11	2	
859	0	0	11	2	
860	0	0	11	2	
861	0	0	11	2	
862	0	0	11	2	
863	0	0	11	2	
864	0	0	11	2	
865	0	0	11	2	
866	0	0	11	2	
867	0	0	11	2	
868	0	0	11	2	
869	0	0	11	2	
870	0	0	11	2	
871	0	0	11	2	
872	0	0	11	2	
873	0	0	11	2	
874	0	0	11	2	
875	0	0	11	2	
876	0	0	11	2	
877	0	0	11	2	
878	0	0	11	2	
879	0	0	11	2	
880	0	0	11	2	
881	0	0	11	2	
882	0	0	11	2	
883	0	0	11	2	
884	0	0	11	2	
885	0	0	11	2	
886	0	0	11	2	
887	0	0	11	2	
888	0	0	11	2	
889	0	0	11	2	
890	0	0	11	2	
891	0	0	11	2	
892	0	0	11	2	
893	0	0	11	2	
894	0	0	11	2	
895	0	0	11	2	
896	0	0	11	2	
897	0	0	11	2	
898	0	0	11	2	
899	0	0	11	2	
900	0	0	11	2	
901	0	0	11	2	
902	0	0	11	2	
903	0	0	11	2	
904	0	0	11	2	
905	0	0	11	2	
906	0	0	11	2	
907	0	0	11	2	
908	0	0	11	2	
909	0	0	11	2	
910	0	0	11	2	
911	0	0	11	2	
912	0	0	11	2	
913	0	0	11	2	
914	0	0	11	2	
915	0	0	11	2	
916	0	0	11	2	
917	0	0	11	2	
918	0	0	11	2	
919	0	0	11	2	
920	0	0	11	2	
921	0	0	11	2	
922	0	0	11	2	
923	0	0	11	2	
924	0	0	11	2	
925	0	0	11	2	
926	0	0	11	2	
927	0	0	11	2	
928	0	0	11	2	
929	0	0	11	2	
930	0	0	11	2	
931	0	0	11	2	
932	0	0	11	2	
933	0	0	11	2	
934	0	0	11	2	
935	0	0	11	2	
936	0	0	11	2	
937	0	0	11	2	
938	0	0	11	2	
939	0	0	11	2	
940	0	0	11	2	
941	0	0	11	2	
942	0	0	11	2	
943	0	0	11	2	
944	0	0	11	2	
945	0	0	11	2	
946	0	0	11	2	
947	0	0	11	2	
948	0	0	11	2	
949	0	0	11	2	
950	0	0	11	2	
951	0	0	11	2	
952	0	0	11	2	
953	0	0	11	2	
954	0	0	11	2	
955	0	0	11	2	
956	0	0	11	2	
957	0	0	11	2	
958	0	0	11	2	
959	0	0	11	2	
960	0	0	11	2	
961	0	0	11	2	
962	0	0	11	2	
963	0	0	11	2	
964	0	0	11	2	
965	0	0	11	2	
966	0	0	11	2	
967	0	0	11	2	
968	0	0	11	2	
969	0	0	11	2	
970	0	0	11	2	
971	0	0	11	2	
972	0	0	11	2	
973	0	0	11	2	
974	0	0	11	2	
975	0	0	11	2	
976	0	0	11	2	
977	0	0	11	2	
978	0	0	11	2	
979	0	0	11	2	
980	0	0	11	2	
981	0	0	11	2	
982	0	0	11	2	
983	0	0	11	2	
984	0	0	11	2	
985	0	0	11	2	
986	0	0	11	2	
987	0	0	11	2	
988	0	0	11	2	
989	0	0	11	2	
990	0	0	11	2	
991	0	0	11	2	
992	0	0	11	2	
993	0	0	11	2	
994	0	0	11	2	
995	0	0	11	2	
996	0	0	11	2	
997	0	0	11	2	
998	0	0	11	2	
999	0	0	11	2	
1000	0	0	11	2	
1001	0	0	11	2	
1002	0	0	11	2	
1003	0	0	11	2	
1004	0	0	11	2	
1005	0	0	11	2	
1006	0	0	11	2	
1007	0	0	11	2	
1008	0	0	11	2	
1009	0	0	11	2	
1010	0	0	11	2	
1011	0	0	11	2	
1012	0	0	11	2	
1013	0	0	11	2	
1014	0	0	11	2	
1015	0	0	11	2	
1016	0	0	11	2	
1017	0	0	11	2	
1018	0	0	11	2	
1019	0	0	11	2	
1020	0	0	11	2	
1021	0	0	11	2	
1022	0	0	11	2	
1023	0	0	11	2	
1024	0	0	11	2	
1025	0	0	11	2	
1026	0	0	11	2	
1027	0	0	11	2	
1028	0	0	11	2	
1029	0	0	11	2	
1030	0	0	11	2	
1031	0	0	11	2	
1032	0	0	11	2	
1033	0	0	11	2	
1034	0	0	11	2	
1035	0	0	11	2	
1036	0	0	11	2	
1037	0	0	11	2	
1038	0	0	11	2	
1039	0	0	11	2	
1040	0	0	11	2	
1041	0	0	11	2	
1042	0	0	11	2	
1043	0	0	11	2	
1044	0	0	11	2	
1045	0	0	11	2	
1046	0	0	11	2	
1047	0	0	11	2	
1048	0	0	11	2	
1049	0	0	11	2	
1050	0	0	11	2	
1051	0	0	11	2	
1052	0	0	11	2	
1053	0	0	11	2	
1054	0	0	11	2	
1055	0	0	11	2	
1056	0	0	11	2	
1057	0	0	11	2	
1058	0	0	11	2	
1059	0	0	11	2	
1060	0	0	11	2	
1061	0	0	11	2	
1062	0	0	11	2	
1063	0	0	11	2	
1064	0	0	11	2	
1065	0	0	11	2	
1066	0	0	11	2	
1067	0	0	11	2	
1068	0	0	11	2	
1069	0	0	11	2	
1070	0	0	11	2	
1071	0	0	11	2	
1072	0	0	11	2	
1073	0	0	11	2	
1074	0	0	11	2	
1075	0	0	11	2	
1076	0	0	11	2	
1077	0	0	11	2	
1078	0	0	11	2	
1079	0	0	11	2	
1080	0	0	11	2	
1081	0	0	11	2	
1082	0	0	11	2	
1083	0	0	11	2	
1084	0	0	11	2	
1085	0	0	11	2	
1086	0	0	11	2	
1087	0	0	11	2	
1088	0	0	11	2	
1089	0	0	11	2	
1090	0	0	11	2	
1091	0	0	11	2	
1092	0	0	11	2	
1093	0	0	11	2	
1094	0	0	11	2	
1095	0	0	11	2	
1096	0	0	11	2	
1097	0	0	11	2	
1098	0	0	11	2	
1099	0	0	11	2	
1100	0	0	11	2	
1101	0	0	11	2	
1102	0	0	11	2	
1103	0	0	11	2	
1104	0	0	11	2	
1105	0	0	11	2	
1106	0	0	11	2	
1107	0	0	11	2	
1108	0	0	11	2	
1109	0	0	11	2	
1110	0	0	11	2	
1111	0	0	11	2	
1112	0	0	11	2	
1113	0	0	11	2	
1114	0	0	11	2	
1115	0	0	11	2	
1116	0	0	11	2	
1117	0	0	11	2	
1118	0	0	11	2	
1119	0	0	11	2	
1120	0	0	11	2	
1121	0	0	11	2	
1122	0	0	11	2	
1123	0	0	11	2	
1124	0	0	11	2	
1125	0	0	11	2	
1126	0	0	11	2	
1127	0	0	11	2	
1128	0	0	11	2	
1129	0	0	11	2	
1130	0	0	11	2	
1131	0	0	11	2	
1132	0	0	11	2	
1133	0	0	11	2	
1134	0	0	11	2	
1135	0	0	11	2	
1136	0	0	11	2	
1137	0	0	11	2	
1138	0	0	11	2	
1139	0	0	11	2	
1140	0	0	11	2	
1141	0	0	11	2	
1142	0	0	11	2	
1143	0	0	11	2	
1144	0	0	11	2	
1145	0	0	11	2	
1146	0	0	11	2	
1147	0	0	11	2	
1148	0	0	11	2	
1149	0	0	11	2	
1150	0	0	11	2	
1151	0	0	11	2	
1152	0	0	11	2	
1153	0	0	11	2	
1154	0	0	11	2	
1155	0	0	11	2	
1156	0	0	11	2	
1157	0	0	11	2	
1158	0	0	11	2	
1159	0	0	11	2	
1160	0	0	11	2	
1161	0	0	11	2	
1162	0	0	11	2	
1163	0	0	11	2	
1164	0	0	11	2	
1165	0	0	11	2	
1166	0	0	11	2	
1167	0	0	11	2	
1168	0	0	11	2	
1169	0	0	11	2	
1170	0	0	11	2	
1171	0	0	11	2	
1172	0	0	11	2	
1173	0	0	11	2	
1174	0	0	11	2	
1175	0	0	11	2	
1176	0	0	11	2	
1177	0	0	11	2	
1178	0	0	11	2	
1179	0	0	11	2	
1180	0	0	11	2	
1181	0	0	11	2	
1182	0	0	11	2	
1183	0	0	11	2	
1184	0	0	11	2	
1185	0	0	11	2	
1186	0	0	11	2	
1187	0	0	11	2	
1188	0	0	11	2	
1189	0	0	11	2	
1190	0	0	11	2	
1191	0	0	11	2	
1192	0	0	11	2	
1193	0	0	11	2	
1194	0	0	11	2	
1195	0	0	11	2	
1196	0	0	11	2	
1197	0	0	11	2	
1198	0	0	11	2	
1199	0	0	11	2	
1200	0	0	11	2	
1201	0	0	11	2	
1202	0	0	11	2	
1203	0	0	11	2	
1204	0	0	11	2	
1205	0	0	11	2	
1206	0	0	11	2	
1207	0	0	11	2	
1208	0	0	11	2	
1209	0	0	11	2	
1210	0	0	11	2	
1211	0	0	11	2	
1212	0	0	11	2	
1213	0	0	11	2	
1214	0	0	11	2	
1215	0	0	11	2	
1216	0	0	11	2	
1217	0	0	11	2	
1218	0	0	11	2	
1219	0	0	11	2	
1220	0	0	11	2	
1221	0	0	11	2	
1222	0	0	11	2	
1223	0	0	11	2	
1224	0	0	11	2	
1225	0	0	11	2	
1226	0	0	11	2	
1227	0	0	11	2	
1228	0	0	11	2	
1229	0	0	11	2	
1230	0	0	11	2	
1231	0	0	11	2	
1232	0	0	11	2	
1233	0	0	11	2	
1234	0	0	11	2	
1235	0	0	11	2	
1236	0	0	11	2	
1237	0	0	11	2	
1238	0	0	11	2	
1239	0	0	11	2	
1240	0	0	11	2	
1241	0	0	11	2	
1242	0	0	11	2	
1243	0	0	11	2	
1244	0	0	11	2	
1245	0	0	11	2	
1246	0	0	11	2	
